"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15756","editingTheNewsDescription","","Sun Aug 31 12:53:30 NOVT 2025","passed","Sun Aug 31 12:53:46 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","editingTheNewsDescription"
"","12339","cancelButtonWhenFillingFields","","Sun Aug 31 13:00:02 NOVT 2025","passed","Sun Aug 31 13:00:14 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","cancelButtonWhenFillingFields"
"","12161","navigatingToTheAboutAppPageFronTheControlPanelPage","","Sun Aug 31 12:57:18 NOVT 2025","passed","Sun Aug 31 12:57:30 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","navigatingToTheAboutAppPageFronTheControlPanelPage"
"","13583","deleteNews","","Sun Aug 31 12:53:06 NOVT 2025","passed","Sun Aug 31 12:53:20 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","deleteNews"
"","11670","navigatingToTheAboutAppPageFromTheQuotePage","","Sun Aug 31 12:58:39 NOVT 2025","passed","Sun Aug 31 12:58:51 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","navigatingToTheAboutAppPageFromTheQuotePage"
"","7997","filteringNewsCategoryWithoutFillingInTheOtherField","","Sun Aug 31 13:02:33 NOVT 2025","passed","Sun Aug 31 13:02:41 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","filteringNewsCategoryWithoutFillingInTheOtherField"
"","13142","datePublicationOfTheNewsBlock","","Sun Aug 31 12:51:12 NOVT 2025","passed","Sun Aug 31 12:51:25 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","datePublicationOfTheNewsBlock"
"","12706","automaticCreationTitleWhenSelectingCategory","","Sun Aug 31 12:59:20 NOVT 2025","passed","Sun Aug 31 12:59:33 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","automaticCreationTitleWhenSelectingCategory"
"","9384","cancelButtonWhenPartiallyField","","Sun Aug 31 12:59:51 NOVT 2025","passed","Sun Aug 31 13:00:01 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","cancelButtonWhenPartiallyField"
"","10255","authorizationWithInvalidLoginAndValidPassword","","Sun Aug 31 12:56:21 NOVT 2025","broken","Sun Aug 31 12:56:31 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","authorizationWithInvalidLoginAndValidPassword"
"","9691","cancelingEditingWhenMakingChangesFields","","Sun Aug 31 12:52:56 NOVT 2025","passed","Sun Aug 31 12:53:05 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","cancelingEditingWhenMakingChangesFields"
"","6883","blockNewsExpandButton","","Sun Aug 31 13:04:21 NOVT 2025","passed","Sun Aug 31 13:04:28 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.NewsPageTest","ru.iteco.fmhandroid.ui.tests.NewsPageTest","blockNewsExpandButton"
"","13510","creatingNewsStoryWithYourOwnHeadline","","Sun Aug 31 13:00:15 NOVT 2025","passed","Sun Aug 31 13:00:29 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","creatingNewsStoryWithYourOwnHeadline"
"","10782","loggingInWithInvalidLoginAndPasswordByClickingSeverialTimesButton","","Sun Aug 31 12:55:50 NOVT 2025","broken","Sun Aug 31 12:56:01 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTest","loggingInWithInvalidLoginAndPasswordByClickingSeverialTimesButton"
"","9765","navigatingToTheMainPageFromTheQuotePage","","Sun Aug 31 12:58:05 NOVT 2025","passed","Sun Aug 31 12:58:14 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","navigatingToTheMainPageFromTheQuotePage"
"","7194","returnPreviousPageUsingTheBackButton","","Sun Aug 31 12:55:27 NOVT 2025","passed","Sun Aug 31 12:55:34 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.AboutTheAppTest","ru.iteco.fmhandroid.ui.tests.AboutTheAppTest","returnPreviousPageUsingTheBackButton"
"","16174","editingTheNewsCategory","","Sun Aug 31 12:51:49 NOVT 2025","passed","Sun Aug 31 12:52:05 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.ControlPanelTest","editingTheNewsCategory"
"","13507","filteringNewsBuCategoryFilterWithLeftDate","","Sun Aug 31 13:03:02 NOVT 2025","passed","Sun Aug 31 13:03:15 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","ru.iteco.fmhandroid.ui.tests.FilterNewsPageNewsTest","filteringNewsBuCategoryFilterWithLeftDate"
"","17271","unlimitedNumberCharactersDescriptionField","","Sun Aug 31 13:00:30 NOVT 2025","broken","Sun Aug 31 13:00:47 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","ru.iteco.fmhandroid.ui.tests.CreateNewsTest","unlimitedNumberCharactersDescriptionField"
"","12009","goToAboutAppPageFromTheNewsPage","","Sun Aug 31 12:58:16 NOVT 2025","broken","Sun Aug 31 12:58:28 NOVT 2025","","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","ru.iteco.fmhandroid.ui.tests.BurgerMenuTest","goToAboutAppPageFromTheNewsPage"
